Sensor 1,Sensor 2,Condition,
99,100,pass,
97,100,pass,
98,100,pass,
98,99,pass,
99,100,pass,
98,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
32,2,pass,
81,100,pass,
92,100,pass,
96,99,pass,
98,100,pass,
98,99,pass,
98,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,17,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
32,1,pass,
81,100,pass,
91,99,pass,
96,100,pass,
97,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
91,5,pass,
99,100,pass,
99,100,pass,
98,2,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
32,100,pass,
77,99,pass,
90,100,pass,
95,100,pass,
97,100,pass,
98,99,pass,
98,99,pass,
99,99,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
98,100,pass,
32,99,pass,
77,100,pass,
90,100,pass,
95,100,pass,
97,100,pass,
98,100,pass,
98,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
32,100,pass,
77,100,pass,
90,100,pass,
95,100,pass,
97,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,14,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
91,2,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
92,11,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
33,13,pass,
50,1,pass,
85,99,pass,
93,99,pass,
96,100,pass,
98,99,pass,
98,100,pass,
98,99,pass,
99,99,pass,
98,99,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
36,3,pass,
77,100,pass,
90,99,pass,
95,100,pass,
97,99,pass,
31,99,pass,
76,100,pass,
90,100,pass,
95,100,pass,
97,99,pass,
98,99,pass,
98,99,pass,
98,100,pass,
98,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,1,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
32,100,pass,
77,100,pass,
90,100,pass,
95,100,pass,
98,100,pass,
98,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,17,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,2,pass,
99,100,pass,
33,3,pass,
81,100,pass,
92,99,pass,
96,100,pass,
97,99,pass,
99,100,pass,
99,99,pass,
99,35,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
40,100,pass,
77,99,pass,
90,100,pass,
95,99,pass,
97,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
32,3,pass,
81,100,pass,
92,2,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
99,99,pass,
99,99,pass,
99,99,pass,
98,100,pass,
98,99,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
32,2,pass,
81,100,pass,
26,13,pass,
78,99,pass,
90,99,pass,
96,100,pass,
97,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,99,pass,
33,2,pass,
81,100,pass,
92,100,pass,
96,99,pass,
32,100,pass,
76,99,pass,
90,100,pass,
95,100,pass,
97,99,pass,
98,99,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
32,1,pass,
81,100,pass,
91,100,pass,
96,100,pass,
98,100,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
36,9,pass,
82,100,pass,
92,100,pass,
96,99,pass,
98,99,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
99,100,pass,
35,4,pass,
78,100,pass,
90,99,pass,
95,100,pass,
97,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
32,1,pass,
81,99,pass,
91,99,pass,
96,100,pass,
98,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
33,14,pass,
81,99,pass,
91,100,pass,
96,100,pass,
98,100,pass,
98,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
98,99,pass,
99,99,pass,
98,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
32,1,pass,
81,100,pass,
92,100,pass,
96,100,pass,
98,99,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
91,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,36,pass,
99,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,2,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
32,1,pass,
81,100,pass,
92,100,pass,
96,99,pass,
98,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,99,pass,
32,100,pass,
77,100,pass,
90,100,pass,
95,99,pass,
97,100,pass,
98,99,pass,
98,100,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,99,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,10,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
34,3,pass,
82,99,pass,
92,100,pass,
96,100,pass,
98,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
39,2,pass,
83,99,pass,
93,100,pass,
96,99,pass,
97,100,pass,
99,100,pass,
99,100,pass,
98,100,pass,
99,100,pass,
99,99,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,99,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,100,pass,
98,100,pass,
99,99,pass,
99,100,pass,
33,4,pass,
81,99,pass,
92,99,pass,
96,100,pass,
98,99,pass,
98,100,pass,
98,100,pass,
37,11,pass,
83,99,pass,
92,100,pass,
96,99,pass,
98,100,pass,
98,100,pass,
98,100,pass,
99,100,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,100,pass,
99,100,pass,
98,99,pass,
99,99,pass,
99,99,pass,
99,99,pass,
99,99,pass,
99,100,pass,
99,99,pass,
98,100,pass,
99,99,pass,
99,100,pass,
99,100,pass,
99,99,pass,
99,100,pass,
98,100,pass,
38,100,pass,
79,100,pass,
91,100,pass,
95,100,pass,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
98,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
98,100,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
98,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
98,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,99,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
98,99,faulty,
99,100,faulty,
99,100,faulty,
98,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,99,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
98,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
98,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
98,99,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
98,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
98,99,faulty,
99,99,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,100,faulty,
99,100,faulty,
99,99,faulty,
99,99,faulty,
98,100,faulty,
99,99,faulty,
99,100,faulty,
